Position/Role,Question,Answer,Interview Phase,Answer Quality
Marketing Manager,Where do you think you'll be in five years?,"""Some of my future goals for the next few years include leading a design team in a formal capacity. I’m also excited about the prospect of working with product and event teams on developing streamlined processes since this is a natural fit with my project management background. I’d also like to further develop my skills in user experience to aid in creating more user-focused designs.""",Conclusion,Good
Sales Manager,Where do you think you'll be in five years?,"“In five years, I would love to be an industry expert that others can come to for ideas, help and strategy. I’ve had amazing mentors and managers in my past positions, so I’d like to be able to provide similar guidance, potentially taking on a leadership role. Finally, I’d like to have taken the lead on a project I’m passionate about. I’m motivated by connecting my initiatives to a company’s larger goals and I’m excited by the prospect of getting more experience in that.""",Introductory,Good
Sales Manager,Where would you like to be in your career five years from now?,"In five years, I see myself having strong management skills that I’m putting to use in a director-level operations role. I have team management experience already and know I am just as excited about people management as I am about making high-level, strategic decisions.",Conclusion,Good
Sales Manager,Where would you like to be in your career five years from now?,"""I see myself in 5 years running my own business or pursuing a completely different career outside of sales. I'm not sure if I want to be in management long-term.""",Conclusion,Poor
Marketing Manager,Which marketing KPIs are important for small businesses?,"Small businesses should pay attention to revenue-oriented KPIs such as customer acquisition costs and lead conversion rate. Doing this makes it easier to ensure that the campaigns are successful, and the company is making a profit.",Technical,Good
Sales Manager,Who has impacted you most in your career and how?,"My first employer is, still to this day, one of the most influential mentors in my life. He was an amazing leader for his employees and clients and helped me gain confidence in leading meetings and pitching ideas. His influence really helped me establish what I want from my career.""",Introductory,Good
Marketing Manager,Why are you interested in pursuing a career in marketing?,I'm interested in marketing because it's a line of work that's always interested me. I got a degree in marketing because it's fulfiling to connect with people. I eventually hope to work as a marketing manager for a company that offers a product I genuinely believe is beneficial.,Introductory,Good
Marketing Manager,Why are you interested in working for our company?,"I'm interested in working for this firm because this is a company with a culture that I admire. I'm acquainted with someone at your firm, and they have praised you for being an innovative and progressive place to work, so I think this is an environment that will allow me to thrive and contribute.",Introductory,Good
Sales Manager,Why are you interested in working for this company?,"I'm excited to contribute to forward-thinking sales and communications strategies. I find that my personal values are well-aligned with those of your company, particularly when it comes to this company's commitment to doing the right thing for the customer.""",Introductory,Good
Marketing Manager,Why are you leaving your current job?,"“While I value the experience I’ve gained from my current role, there aren’t any opportunities for advancement and I’d like to continue challenging myself by taking on more responsibilities.”",Introductory,Good
Sales Manager,Why are you looking for a new opportunity?,"I very much appreciate the opportunities I had at my last company, I am ready to move forward and take on a new challenge that will allow me to strengthen the breadth and depth of my skills as a customer experience manager. This position seems like an ideal match for my qualifications and professional goals.",Introductory,Good
Marketing Manager,Why do you feel reputation management in social media is vital to your employer?,I’ve found that public reception of the business determines if people will buy the company’s products or use their services. It is critical to make the best impression possible and generate trust among consumers.,Technical,Good
Marketing Manager,Why do you feel that video productions are necessary tools for commercial websites?,"I believe video productions are vital to marketing on social media, and I have used them to promote a company in my past position. Studies show that millions of users watch videos each day that are posted on the outlets. I’ve found that the right product gives companies a voice and helps them become successful on a more globalized scale.",Technical,Good
Marketing Manager,Why do you think reputation management is important in social media marketing?,"As a social media manager, I understand that it's my duty to protect the reputation of a brand on social media. From my experience, what people think about a brand affects whether they remain or become customers. I always work to leave the best impression on followers when managing social media accounts.",Technical,Good
Marketing Manager,Why do you want this job?,"""I'm interested in this job because I think it would allow me to contribute both my technical expertise and my people skills. Working for Ellis Software as the Design Manager would let me use both my knowledge of computer programming and my experience in customer service. I pride myself on being able to solve technical problems and communicate with clients successfully, so this job feels like a great fit for me. I think because I can contribute to both the production and the sale of Ellis Software's products, I'd be a valuable asset to the team.""",Introductory,Good
Sales Manager,Why do you want this job?,"""I am impressed by Goodwin Manufacturer's commitment to excellence and customer service. I really appreciate a company that puts the consumer first and I'd love to work with a team that prioritizes producing quality products instead of just making a profit. I read that last year, Goodwin's customer relations department won an award for its exceptional performance. That dedication to service resonated with me and I'm excited by the prospect of working for a company that shares my values.""",Introductory,Good
Sales Manager,Why do you want to manage people?,"I found it rewarding whenever I had the opportunity to collaborate with my fellow sales reps, and believe I would thrive as a manager of people because of my enthusiasm for assisting my coworkers as well as my understanding of the daily pressure that sales reps face.",Behavioral,Good
Marketing Manager,Why do you want to work as a marketing manager at this company?,I want to work at your company because I see this role as an opportunity to contribute towards an exciting social media project while developing my skills. I believe in your products and want to share them with a broader audience. I see a lot of growth potential and am excited about using my skills to expand your business.,Introductory,Good
Marketing Manager,Why do you want to work here?,"“I’ve been a loyal user of your product for many years. I’m consistently impressed by the cutting-edge technology and great user experience it provides. A few months back I had an issue and called customer support. The representative I spoke with was helpful, personable and sharp. I remember thinking at that time that your company must be a good one to work for. When I saw the opening for the Product Manager position I decided to research your company values and culture further, all of which supported my intuition that this is a place I’d love to work. I would love to grow my career at a company that is passionate about user experience and innovation.”",Introductory,Good
Marketing Manager,Why do you want to work here?,"“I’m impressed by your company’s commitment to the growth and development of its employees. One of my friends works in your marketing department and she has praised this company for its excellent treatment of employees for years. I’m looking for a company that empowers and challenges its employees to be the best professionals they can be. In my research, I’ve found that you invest in ongoing education of your employees through education reimbursement, onsite training and mentorship programs. In addition, you have a great reputation for leadership in the industry. This is a company at which I would be honored to grow my career.”",Introductory,Good
Sales Manager,Why do you want to work here?,"I don't know, I just need a job, and I saw this opening, so I applied. It doesn't really matter where I work as long as I'm getting paid.",Introductory,Poor
Marketing Manager,Why do you want to work here?,"I need a job, and I saw your job posting, so I applied. It doesn't really matter where I work, as long as the pay is good.",Introductory,Poor
Marketing Manager,Why is brand management important to a business in your opinion?,"Branding is how the public perceives you and your unique selling proposition. All else being equal, it is how they decide what businesses to patronize.",Technical,Good
Sales Manager,Why is now the right time for you to become a manager?,"For a while, even though I was performing at a high level as a rep, I didn’t have a good enough understanding of the business. So over the past several months I’ve focused on understanding how different teams and departments work and how it all adds up together. Now that I have a much better understanding of that, I feel ready to take on the next challenge and can offer good ideas that can increase revenue and take us to where we need to be.”",Introductory,Good
Sales Manager,Why should we hire you?,“I think I’m a great fit for this job because I’m highly deadline-oriented and I thrive in a fast-paced work environment. You mentioned that you prefer weekly status updates over monthly updates and that’s something I’m already doing in my current job. So this job feels like a realistic workload and something that would be an exciting challenge.”,Introductory,Good
Sales Manager,"You have unlimited water, a 5 gallon pail and a 3 gallon pail. Describe the process of accurately filling the 5 gallon pail with 4 gallons of water. No eyeballing or estimating.","Empty both pails half full, then pour the remaining from the 3 gallon pail into the 5 gallon pail.",Technical,Average
Sales Manager,"You have unlimited water, a 5 gallon pail and a 3 gallon pail. Describe the process of accurately filling the 5 gallon pail with 4 gallons of water. No eyeballing or estimating.",Fill the 3 gallon bucket and empty it into the 5 gallon bucket.  Fill the 3 gallon bucket again.  Fill the 5 gallon bucket with the water from the 3 gallon bucket leaving 1 gallon in the 3 gallon bucket. Empty the 5 gallon bucket. Put the 1 gallon from the 3 gallon bucket into the 5 gallon bucket. Fill the 3 gallon bucket and pour its contents into the 5 gallon bucket. Now there is 4 gallons of water in the 5 gallon bucket.,Technical,Good
Sales Manager,"You need to fire an employee who harassed someone, but you also have to finish a big inventory. Which do you do first?","I'd fire the employee first, even if it meant I had to state late to do the inventory. Following company policies on harassment is most important.",Behavioral,Good
Marketing Manager,"Your development team has a new product, but you think the market is too saturated for it to be profitable. What do you do?",I would analyze the data and present the finance and product teams with a clear market estimate so that they have a strong understanding of how profits would look.,Technical,Good
Marketing Manager,Your finance team wants to increase the price of one of your products. How do you tell your customers without alienating them?,I would first understand why the company is increasing prices and explain to customers that our costs increased or the product is providing more value in other ways.,Technical,Good
